"","weight","genus","DEPTH"
"HYDNOPHORA1",-0.212711479242385,"HYDNOPHORA",5
"LEPTASTREA1",0.0478271619556156,"LEPTASTREA",5
"LEPTORIA1",0.0772461564127564,"LEPTORIA",5
"LEPTOSERIS1",-0.0206917435988346,"LEPTOSERIS",5
"LITHOPHYLLON",-0.00081979723405132,"LITHOPHYLLON",5
"LOBOPHYLLIA1",-0.033999334482837,"LOBOPHYLLIA",5
"MERULINA1",-0.0730890739246139,"MERULINA",5
"MONTASTREA1",0.00540217480902074,"MONTASTREA",5
"MONTIPORA1",0.0451076517066304,"MONTIPORA",5
"MOSELEYA1",-0.0909665359417704,"MOSELEYA",5
"MYCEDIUM1",-0.150523089390952,"MYCEDIUM",5
"OULOPHYLLIA1",0.0362767333782352,"OULOPHYLLIA",5
"OXYPORA1",-0.0757456169013106,"OXYPORA",5
"PACHYSERIS1",-0.235496004970563,"PACHYSERIS",5
"PALAUASTREA1",-0.0209208437183223,"PALAUASTREA",5
"PAVONA1",-0.0239520534293306,"PAVONA",5
"PECTINIA1",-0.126417622037133,"PECTINIA",5
"PHYSOGYRA1",0.00128732185868169,"PHYSOGYRA",5
"PLATYGYRA1",-0.0394259645533966,"PLATYGYRA",5
"PLEROGYRA1",-0.000890256478572803,"PLEROGYRA",5
"PLESIASTREA1",-0.114100892361765,"PLESIASTREA",5
"POCILLOPORA1",0.0738370475581251,"POCILLOPORA",5
"PODABACIA1",-0.122205785748104,"PODABACIA",5
"POLYPHYLLIA1",-0.0195207961867808,"POLYPHYLLIA",5
"PSAMMOCORA1",-0.365977753735574,"PSAMMOCORA",5
"PSEUDOSIDERASTREA1",-0.00572585889987829,"PSEUDOSIDERASTREA",5
"SANDALOLITHA1",0.00481882802757675,"SANDALOLITHA",5
"SCOLYMIA1",0.000362910288437588,"SCOLYMIA",5
"SERIATOPORA1",0.0271391854315741,"SERIATOPORA",5
"STYLOCOENIELLA1",-0.00585019564601517,"STYLOCOENIELLA",5
"STYLOPHORA1",0.0332744119702348,"STYLOPHORA",5
"SYMPHYLLIA1",0.0176804532132507,"SYMPHYLLIA",5
"TUBASTRAEA1",-0.000241733407519796,"TUBASTRAEA",5
"TURBINARIA1",-0.306968423528661,"TURBINARIA",5
"ACB1",0.809918106107824,"ACB",5
